DATASET_MULTIBAR
SEPARATOR TAB
DATASET_LABEL	Habitat composition (Class level)
COLOR	#00aa00

FIELD_LABELS	animal	aquatic	soil	unknown
FIELD_COLORS	#d73027	#1b9e77	#8c510a	#969696

WIDTH	50
HEIGHT	10
MARGIN	5

DATA
Abditibacteriia	0.0	0.0	0.0	1.0
Acidimicrobiia	0.09302325581395349	0.20930232558139536	0.18604651162790697	0.5116279069767442
Acidithiobacillia	0.0	0.375	0.0625	0.5625
Actinomycetes	0.08319438854711665	0.010406485367676651	0.13171965733340998	0.7746794687517967
Alphaproteobacteria	0.06350199421287245	0.16462031750997105	0.0919684054117463	0.6799092828654102
Anaerolineae	0.0	0.3902439024390244	0.0	0.6097560975609756
Aquificia	0.08333333333333333	0.5	0.0	0.4166666666666667
Archaeoglobi	0.0	0.6	0.0	0.4
Ardenticatenia	0.5714285714285714	0.0	0.0	0.42857142857142855
Armatimonadia	0.0	0.0	1.0	0.0
Atribacteria	0.0	0.0	0.0	1.0
Bacilli	0.2053050397877984	0.03572060123784262	0.21644562334217507	0.542528735632184
Bacteriovoracia	0.07142857142857142	0.0	0.07142857142857142	0.8571428571428571
Bacteroidia	0.23832528180354268	0.10628019323671498	0.0	0.6553945249597424
Balneolia	0.0	0.3263157894736842	0.031578947368421054	0.6421052631578947
Bdellovibrionia	0.0	0.5238095238095238	0.0	0.47619047619047616
Betaproteobacteria	0.06545262602269729	0.09897070467141726	0.11454209553972024	0.7210345737661652
Blastocatellia	0.0	0.5	0.0	0.5
Caldilineae	0.0	1.0	0.0	0.0
Calditrichia	0.0	0.0	0.0	1.0
Candidatius Mariprofundia	0.0	0.2222222222222222	0.0	0.7777777777777778
Candidatus Bipolaricaulia	0.0	0.0	0.0	1.0
Candidatus Brocadiia	0.0	0.0	0.0	1.0
Candidatus Desulfofervidia	0.0	0.0	0.0	1.0
Candidatus Methylomirabilia	0.0	0.0	0.0	1.0
Candidatus Micrarchaeia	0.0	0.0	0.0	1.0
Chitinispirillia	0.0	0.5	0.0	0.5
Chitinivibrionia	0.0	1.0	0.0	0.0
Chitinophagia	0.024464831804281346	0.08868501529051988	0.2782874617737003	0.6085626911314985
Chlamydiia	0.0	0.0	0.0	1.0
Chlorobiia	0.0	0.3	0.0	0.7
Chloroflexia	0.0	0.13636363636363635	0.09090909090909091	0.7727272727272727
Chrysiogenia	1.0	0.0	0.0	0.0
