DATASET_MULTIBAR
SEPARATOR TAB
DATASET_LABEL	Habitat composition (Class level)
COLOR	#00aa00

FIELD_LABELS	animal	aquatic	soil	unknown
FIELD_COLORS	#d73027	#1b9e77	#8c510a	#969696

WIDTH	50
HEIGHT	10
MARGIN	5

DATA
Abditibacteriia	0.0	0.0	0.0	1.0
Acidimicrobiia	0.09090909090909091	0.22727272727272727	0.18181818181818182	0.5
Acidithiobacillia	0.0	0.375	0.0625	0.5625
Actinomycetes	0.08392564242755604	0.010661563696008748	0.12465828321487152	0.7807545106615636
Alphaproteobacteria	0.06565349544072949	0.18581560283687942	0.06788247213779129	0.6806484295845998
Anaerolineae	0.0	0.4	0.0	0.6
Aquificia	0.08333333333333333	0.5	0.0	0.4166666666666667
Archaeoglobi	0.0	0.6	0.0	0.4
Ardenticatenia	0.6666666666666666	0.0	0.0	0.3333333333333333
Armatimonadia	0.0	0.0	1.0	0.0
Atribacteria	0.0	0.0	0.0	1.0
Bacilli	0.18711111111111112	0.042666666666666665	0.21022222222222223	0.56
Bacteriovoracia	0.07142857142857142	0.0	0.07142857142857142	0.8571428571428571
Bacteroidia	0.24060150375939848	0.12781954887218044	0.0	0.631578947368421
Balneolia	0.0	0.3333333333333333	0.027777777777777776	0.6388888888888888
Bdellovibrionia	0.0	0.5	0.0	0.5
Betaproteobacteria	0.06328705198579271	0.11139812721989022	0.11365837907652566	0.7116564417177914
Blastocatellia	0.0	0.3333333333333333	0.0	0.6666666666666666
Caldilineae	0.0	1.0	0.0	0.0
Calditrichia	0.0	0.0	0.0	1.0
Candidatius Mariprofundia	0.0	0.18181818181818182	0.0	0.8181818181818182
Candidatus Bipolaricaulia	0.0	0.0	0.0	1.0
Candidatus Brocadiia	0.0	0.0	0.0	1.0
Candidatus Methylomirabilia	0.0	0.0	0.0	1.0
Candidatus Micrarchaeia	0.0	0.0	0.0	1.0
Chitinispirillia	0.0	0.5	0.0	0.5
Chitinivibrionia	0.0	1.0	0.0	0.0
Chitinophagia	0.025510204081632654	0.09693877551020408	0.2755102040816326	0.6020408163265306
Chlamydiia	0.0	0.0	0.0	1.0
Chlorobiia	0.0	0.3	0.0	0.7
Chloroflexia	0.0	0.13333333333333333	0.06666666666666667	0.8
Chrysiogenia	1.0	0.0	0.0	0.0
Chthonomonadia	0.0	0.0	1.0	0.0
Clostridia	0.21751152073732719	0.059907834101382486	0.035023041474654376	0.687557603686636
